Type,Book,FirstO,Appears,CA,Alphabetical Name,Full Name,First,Last,Common Name,Primary Name,Gender,Species,Time,Affiliation,Ajah,Dark?,Strength,Nationality,Birth Year,Description
Primary,Main,CoT,No,0,Aedmun Matherin,Aedmun Matherin,Aedmun,Matherin,Aedmun,N/A,M,Human,Current,Andoran Noble,N/A,Unassigned,N/A,Andor,Unknown,The High Seat of House Matherin in Andor and a supporter of Elayne.
Primary,Main,TSR,No,0,"Aedomon, King",King Aedomon,Aedomon,,Aedomon,N/A,M,Human,Historic,King,N/A,Unassigned,N/A,Safer,Unknown,An Ancient king of Safer who defeated a Manetheren army at Midean’s Ford.
Primary,Main,TGH,Yes,1,Aedwin Cole,Aedwin Cole,Aedwin,Cole,Cole,N/A,M,Human,Current,Boat Crewman,N/A,Unassigned,N/A,Unknown,Unknown,A crewman for Bayle Domon on the Spray.
Primary,Main,TFoH,No,0,Aeldene Stonebridge,Aeldene Stonebridge,Aeldene,Stonebridge,Aeldene,N/A,F,Human,Current,Aes Sedai,Blue,No,27(15),Andor,Unknown,An Aes Sedai of the Blue Ajah and the rebel contingent.
Primary,Main,TSR,No,0,Aeldra,Aeldra,Aeldra,,Aeldra,N/A,F,Human,Current,Uncertain,N/A,Unassigned,N/A,Tarabon,Unknown,"A woman of Tanchico, never seen, who was called to by a dreaming man."
Primary,NS,NS,Yes,3,Aeldra Najaf,Aeldra Najaf,Aeldra,Najaf,Aeldra,N/A,F,Human,Current,Aes Sedai,Blue,No,Unknown,Arad Doman,Unknown,"A Domani Aes Sedai of the Blue Ajah. Lean, with coppery skin and short white hair."
Primary,Main,KoD,No,0,Aeldrine,Aeldrine,Aeldrine,,Aeldrine,N/A,F,Human,Current,Merchant,N/A,Unassigned,N/A,Tarabon,Unknown,The mother of Beonin Marinye. She was a merchant in Tanchico.
Primary,Main,KoD,No,0,Aelmara,Aelmara,Aelmara,,Aelmara,N/A,F,Human,Current,Servant,N/A,Unassigned,N/A,Far Madding,Unknown,Romanda Cassin’s longtime serving woman.
Primary,World,World,No,0,Aeman Senhold,Aeman Senhold,Aeman,Senhold,Aeman,N/A,M,Human,Historic,Amadician Noble,N/A,Unassigned,N/A,Amadicia,Unknown,A nobleman who was the leader of the Amadician contingent at the Battle of the Shining Walls.
Primary,Main,TPoD,Yes,2,Aemin,Aemin,Aemin,,Aemin,N/A,M,Human,Current,Farrier,N/A,Unassigned,N/A,Cairhien,Unknown,A farrier in Perrin’s camp in Ghealdan.
Primary,Main,TFoH,Yes,4,Aemlyn Carand,Aemlyn Carand,Aemlyn,Carand,Aemlyn,N/A,F,Human,Current,Andoran Noble,N/A,Unassigned,N/A,Andor,Unknown,"The plump High Seat of House Carand, a major House in Andor."
Primary,Main,TEotW,No,0,Aemon al Caar al Thorin,Aemon al Caar al Thorin,Aemon,al Caar al Thorin,Aemon,N/A,M,Human,Historic,King,N/A,Unassigned,N/A,Manetheren,Unknown,The last King of Manetheren. His wife was Eldrene.
Primary,Main,ToM,Yes,1,Aeric Botteger,Aeric Botteger,Aeric,Botteger,Aeric,N/A,M,Human,Current,Uncertain,N/A,Unassigned,N/A,Andor,Unknown,A man of the Two Rivers who appeared in Nynaeve’s test for the shawl.
Primary,Main,TFoH,Yes,4,Aeron,Aeron,Aeron,,Aeron,N/A,F,Human,Current,Wise One,N/A,Unassigned,N/A,Aiel,Unknown,A respected Wise One of the Black Water sept of the Nakai Aiel who could not channel.
Primary,Main,CoT,No,0,"Aethelaine, Lady",Lady Aethelaine,Aethelaine,,Aethelaine,N/A,F,Human,Current,Altaran Noble,N/A,Unassigned,N/A,Altara,Unknown,"The local lady of Jurador, a salt town in Altara. She swore the Oaths of Return to the Seanchan."
Primary,Main,LoC,No,0,Afara,Afara,Afara,,Afara,N/A,F,Human,Current,Aes Sedai,Green,No,34(22),Unknown,Unknown,An Aes Sedai of the Green Ajah and the rebel contingent.
Primary,Main,KoD,Yes,1,Afrim Hansard,Afrim Hansard,Afrim,Hansard,Afrim,N/A,M,Human,Current,Queen's Guard,N/A,Unassigned,N/A,Andor,Unknown,A loyal Guardsman of the Royal Guards in Caemlyn. He escorted Samwil Hark to meet with Elayne.
Primary,Main,KoD,Yes,1,Agardo Saranche,Agardo Saranche,Agardo,Saranche,Saranche,N/A,M,Human,Current,Innkeeper,N/A,Unassigned,N/A,Tear,Unknown,"The innkeeper of The Dragon in Tear. He was lean, balding, fair-complected and dark-eyed."
Primary,Main,TEotW,Yes,13,Agelmar Jagad,Agelmar Jagad,Agelmar,Jagad,Agelmar,N/A,M,Human,Current,Shienaran Noble,N/A,Unassigned,N/A,Shienar,Unknown,"The Lord of Fal Dara in Shienar, considered to be one of the five great captains of the time."
Primary,Main,KoD,Yes,1,Aghan,Aghan,Aghan,,Aghan,N/A,M,Human,Current,Soldier,N/A,Unassigned,N/A,Unknown,Unknown,A lancer with Bashere’s army who accompanied Rand to meet the purported Daughter of the Nine Moons.
Primary,Main,TEotW,Yes,19,Aginor,Aginor,Aginor,,Aginor,N/A,M,Human,Current,Forsaken,N/A,Yes,"""++2""",Unknown,Unknown,A Forsaken whose original name was Ishar Morrad Chuain. Reincarnated as Osan'gar.
Primary,Main,ACoS,No,0,Agirin,Agirin,Agirin,,Agirin,N/A,F,Human,Current,Maiden of the Spear,N/A,Unassigned,N/A,Aiel,Unknown,A Maiden of the Spear of the Shelan sept of the Daryne Aiel who died at Dumai’s Wells.
Primary,Main,TFoH,Yes,1,Agni Neres,Agni Neres,Agni,Neres,Neres,N/A,M,Human,Current,Ship Captain,N/A,Unassigned,N/A,Altara,Unknown,"The misogynistic, smuggling captain of the Riverserpent."
Primary,Main,TSR,Yes,1,"Ahan, Mistress",Mistress Ahan,Mistress,Ahan,Mistress Ahan,N/A,F,Human,Current,Uncertain,N/A,Unassigned,N/A,Andor,Unknown,A woman of the Two Rivers; she was the mother of Kenley.
Primary,Main,CoT,Yes,1,Aiden Shimura,Aiden Shimura,Aiden,Shimura,Aiden,N/A,F,Human,Current,Aes Sedai,Brown,No,Unknown,Sea Folk,Unknown,A Sea Folk Aes Sedai of the Brown Ajah and the loyalist contingent. She worked in the Thirteenth Depository.
Primary,NS,NS,Yes,1,Aiko,Aiko,Aiko,,Aiko,N/A,F,Human,Current,Servant,N/A,Unassigned,N/A,Kandor,Unknown,A serving woman in the Aesdaishar Palace in Chachin.
Primary,NS,NS,Yes,2,Ailene Tolvina,Ailene Tolvina,Ailene,Tolvina,Ailene,N/A,F,Human,Current,Innkeeper,N/A,Unassigned,N/A,Kandor,Unknown,The stern innkeeper of The Evening Star in Chachin.
Primary,Main,TDR,Yes,4,Ailhuin Guenna,Ailhuin Guenna,Ailhuin,Guenna,Ailhuin,N/A,F,Human,Current,Wise Woman,N/A,Unassigned,N/A,Tear,Unknown,"A Wise Woman in Tear. Also known as ""Mother Guenna""."
Primary,Main,TPoD,Yes,6,Ailil Riatin,Ailil Riatin,Ailil,Riatin,Ailil,N/A,F,Human,Current,Cairhienin Noble,N/A,Unassigned,N/A,Cairhien,Unknown,"A Cairhienin noblewoman. She was 5'6"" tall, and slim and dignified, with big dark eyes."
Primary,Main,TFoH,Yes,1,Ailron Rovere Lukan,Ailron Rovere Lukan,Ailron,Rovere Lukan,Ailron,N/A,M,Human,Current,King,N/A,Unassigned,N/A,Amadicia,Unknown,The King of Amadicia. He was not as handsome as rumor put him.
Primary,Main,TSR,No,0,Ailys Candwin,Ailys Candwin,Ailys,Candwin,Ailys,N/A,F,Human,Current,Uncertain,N/A,Unassigned,N/A,Andor,Unknown,An Emond’s Field woman with a neat house.
Primary,NS,NS,Yes,1,Aisha Raveneos,Aisha Raveneos,Aisha,Raveneos,Aisha,N/A,F,Human,Current,Aes Sedai,Gray,No,14(2),Unknown,698 NE,An Aes Sedai of the Gray Ajah with a strength level of 14(2).
Primary,Main,TPoD,Yes,2,Aisling Noon,Aisling Noon,Aisling,Noon,Aisling,N/A,F,Human,Current,Aes Sedai,Green,No,16(4),Tinker,954 NE,"A Tuatha’an Aes Sedai of the Green Ajah and the loyalist contingent, with a strength level of 16(4)."
Primary,Main,CoT,Yes,2,Ajimbura,Ajimbura,Ajimbura,,Ajimbura,N/A,M,Human,Current,Servant,N/A,Unassigned,N/A,Seanchan,Unknown,A Kaensada Hills tribesman who served Furyk Karede as manservant and scout for nearly twenty years.
Primary,Main,LoC,Yes,2,Akarrin Comeris,Akarrin Comeris,Akarrin,Comeris,Akarrin,N/A,F,Human,Current,Aes Sedai,Brown,No,34(22),Unknown,801 NE,"An Aes Sedai of the Brown Ajah and the rebel contingent, with a strength level of 34(22)."
Primary,Main,KoD,Yes,3,Akein,Akein,Akein,,Akein,N/A,F,Horse,Current,Horse,N/A,Unassigned,N/A,Arad Doman,Unknown,The name of the Domani razor mare that Mat gave to Tuon; it is an Old Tongue word meaning “swallow.”
Primary,Main,TEotW,No,0,Akir Mandragoran,Akir Mandragoran,Akir,Mandragoran,Akir,N/A,M,Human,Historic,King,N/A,Unassigned,N/A,Malkier,Unknown,"The last crowned King of Malkier, and father to Lan Mandragoran."
Primary,Main,WH,Yes,1,Akoure Vayet,Akoure Vayet,Akoure,Vayet,Akoure,N/A,F,Human,Current,Aes Sedai,Gray,No,24(12),Unknown,Unknown,"An Amadician Aes Sedai of the Gray Ajah and the loyalist contingent, with a strength level of 24(12)."
Primary,Main,TEotW,Yes,1,"al'Dai, Master",Master al'Dai,Master,al'Dai,Master al'Dai,N/A,M,Human,Current,Uncertain,N/A,Unassigned,N/A,Andor,Unknown,"He was Bili al’Dai’s grandfather. He is lean, has wispy white hair and is about as old as Master Cole."
Primary,Main,TEotW,Yes,1,"al'Donel, Mistress",Mistress al'Donel,Mistress,al'Donel,Mistress al'Donel,N/A,F,Human,Current,Uncertain,N/A,Unassigned,N/A,Andor,Unknown,An Emond’s Field woman who was concerned that the storks had not returned to Emond’s Field.
Primary,Main,AMoL,No,0,"al'Moor, Master",Master al'Moor,Mistress,al'Moor,Master al'Moor,N/A,M,Human,Current,Farmer,N/A,Unassigned,N/A,Andor,Unknown,A farmer in the Two Rivers; his scythe blade was broken by Perrin early in his blacksmith training.
Primary,Main,TSR,Yes,1,"al'Taron, Mistress",Mistress al'Taron,Mistress,al'Taron,Mistress al'Taron,N/A,F,Human,Current,Uncertain,N/A,Unassigned,N/A,Andor,Unknown,A Two Rivers woman who was Dael’s mother.
Primary,Main,TSR,No,0,Ala,Ala,Ala,,Ala,N/A,F,Ogier,Historic,Uncertain,N/A,Unassigned,N/A,Unknown,Unknown,An Ogier who was the daughter of Soferra and the mother of Damelle.
Primary,Main,ToM,Yes,5,Alaabar Harnesh,Alaabar Harnesh,Alaabar,Harnesh,Harnesh,N/A,M,Human,Current,Whitecloak,N/A,Unassigned,N/A,Murandy,Unknown,A Murandian Lord Captain of the Children of the Light. He was short and bald.
Primary,Main,TGH,Yes,3,Alaine Chuliandred,Alaine Chuliandred,Alaine,Chuliandred,Alaine,N/A,F,Human,Current,Cairhienin Noble,N/A,Unassigned,N/A,Cairhien,Unknown,"A Cairhienin noblewoman, wife of Doressin, who cornered Rand at Barthanes’ party."
Primary,Main,KoD,Yes,1,Alainia,Alainia,Alainia,,Alainia,N/A,F,Human,Current,Silversmith,N/A,Unassigned,N/A,Amadicia,Unknown,A plump Amadician silversmith who was taken gai’shain by the Shaido.
Primary,Main,ToM,Yes,1,Alalved,Alalved,Alalved,,Alalved,N/A,M,Human,Current,Aiel Clan Chief,N/A,Unassigned,N/A,Aiel,Unknown,"A chief of the Tomanelle Aiel after the Last Battle, seen in Aviendha’s vision of the future in Rhuidean."
Primary,Main,TGS,No,0,Alamindra Cutren,Alamindra Cutren,Alamindra,Cutren,Alamindra,N/A,F,Human,Current,Merchant,N/A,Unassigned,N/A,Arad Doman,Unknown,"A member of the Domani Council of Merchants. She went into hiding, but Rhuarc found and held her."
Primary,Main,TGH,Yes,33,Alanna Mosvani,Alanna Mosvani,Alanna,Mosvani,Alanna,N/A,F,Human,Current,Aes Sedai,Green,No,17(5),Arafel,951 NE,"An Arafellin Aes Sedai of the Green Ajah and the rebel contingent, with a strength level of 17(5)."
Primary,Main,TGH,Yes,2,Alar,Alar,Alar,,Alar,N/A,F,Ogier,Current,Ogier Elder,N/A,Unassigned,N/A,Stedding Tsofu,Unknown,The Eldest of the Elders of Stedding Tsofu. She was the mother of Iva and the grandmother of Erith.
Primary,Main,ToM,Yes,1,Alarch,Alarch,Alarch,,Alarch,N/A,M,Human,Current,Uncertain,N/A,Unassigned,N/A,Unknown,Unknown,"Son of Aviendha and Rand, seen in Aviendha’s view of the future in Rhuidean."
Primary,Main,ACoS,Yes,4,Alarys,Alarys,Alarys,,Alarys,N/A,F,Human,Current,Wise One,N/A,Unassigned,N/A,Aiel,Unknown,A Wise One of the Shaido Aiel (but not Jumai) with the ability to channel.
Primary,Main,TGS,No,0,"Aldan, Captain",Captain Aldan,Captain,Aldan,Captain Aldan,N/A,M,Human,Current,Soldier,N/A,Unassigned,N/A,Unknown,Unknown,The officer in charge of recruitment for Bryne’s army.
Primary,Main,CoT,Yes,2,Aldazar,Aldazar,Aldazar,,Aldazar,N/A,M,Horse,Current,Horse,N/A,Unassigned,N/A,Unknown,Unknown,"Furyk Karede’s horse, a bay. The name was Old Tongue for “eagle.”"
Primary,NS,NS,No,0,Aldecain Damodred,Aldecain Damodred,Aldecain,Damodred,Aldecain,N/A,M,Human,Current,Cairhienin Noble,N/A,Unassigned,N/A,Cairhien,Unknown,Laman’s brother and Moiraine’s uncle. He was cruel and vicious.
Primary,Main,TEotW,Yes,29,Aldieb,Aldieb,Aldieb,,Aldieb,N/A,F,Horse,Current,Horse,N/A,Unassigned,N/A,Unknown,Unknown,Moiraine’s mare that she rode when she went to the Two Rivers. The name means “West Wind.”
Primary,Main,KoD,Yes,2,Aldin,Aldin,Aldin,,Aldin,N/A,M,Human,Current,Bookkeeper,N/A,Unassigned,N/A,Amadicia,Unknown,An Amadician bookkeeper who was taken gai’shain by the Shaido. Aldin was tall and square-shouldered.
Primary,Main,KoD,No,0,Aldin Miheres,Aldin Miheres,Aldin,Miheres,Miheres,N/A,M,Human,Current,Mercenary,N/A,Unassigned,N/A,Unknown,Unknown,A mercenary commander working for Arymilla. He attacked Caemlyn and was killed by Birgitte.
Primary,Main,KoD,Yes,1,Aldred Gomaisen,Aldred Gomaisen,Aldred,Gomaisen,Gomaisen,N/A,M,Human,Current,Mercenary,N/A,Unassigned,N/A,Cairhien,Unknown,A Cairhienin mercenary captain who took service with Elayne.
Primary,Main,TGH,Yes,2,Aldrin Caldevwin,Aldrin Caldevwin,Aldrin,Caldevwin,Caldevwin,N/A,M,Human,Current,Soldier,N/A,Unassigned,N/A,Cairhien,Unknown,A captain in the Cairhienin army in charge of excavating the male Choedan Kal statue.
Primary,Main,TPoD,Yes,4,Aledrin Malenry,Aledrin Malenry,Aledrin,Malenry,Aledrin,N/A,F,Human,Current,Aes Sedai,White,No,24(12),Tarabon,950 NE,"A Taraboner Aes Sedai of the White Ajah and the rebel contingent, with a strength level of 24(12)."
Primary,Main,WH,Yes,2,Aleis Barsalla,Aleis Barsalla,Aleis,Barsalla,Aleis,N/A,F,Human,Current,First Counsel,N/A,Unassigned,N/A,Far Madding,Unknown,"The stately First Counsel of Far Madding. She was 5'7"" tall, with long black hair heavily winged with white."
Primary,World,World,No,0,Aleis Romlin,Aleis Romlin,Aleis,Romlin,Aleis,N/A,F,Human,Historic,Aes Sedai,Green,No,Unknown,Unknown,Unknown,An Aes Sedai of the Green Ajah who served as Amyrlin from 890 to 922 NE.
Primary,Main,TEotW,No,0,Alene al'Vere,Alene al'Vere,Alene,al'Vere,Alene,N/A,F,Human,Current,Uncertain,N/A,Unassigned,N/A,Andor,969 NE,Egwene’s second-eldest sister. She was born in 969 NE and allowed to braid her hair at sixteen.
Primary,Main,TDR,No,0,Aleria Elffin,Aleria Elffin,Aleria,Elffin,Aleria,N/A,F,Human,Unknown,Author,N/A,Unassigned,N/A,Unknown,Unknown,An author of humorous tales.
Primary,Main,TFoH,No,0,Aleshin Talvaen,Aleshin Talvaen,Aleshin,Talvaen,Lord Aleshin,N/A,M,Human,Current,Ghealdanin Noble,N/A,Unassigned,N/A,Ghealdan,Unknown,"The leader of the Ghealdanin contingent at the Battle of the Shining Walls, and a Lord."
Primary,Main,LoC,No,0,"Alesinde, Queen",Queen Alesinde,Alesinde,,Alesinde,N/A,F,Human,Historic,Queen,N/A,Unassigned,N/A,Andor,Unknown,"The daughter of Ishara, and her successor to the throne of Andor. She reigned from FY 1020 to 1035."
Primary,Main,TPoD,Yes,1,Alesune Chulin,Alesune Chulin,Alesune,Chulin,Alesune,N/A,F,Human,Current,Shatayan,N/A,Unassigned,N/A,Shienar,Unknown,A woman who served as shatayan to King Easar of Shienar. She was the head housekeeper.
Primary,Main,TFoH,No,0,"Alfara, Mistress",Mistress Alfara,Mistress,Alfara,Mistress Alfara,N/A,F,Human,Current,Innkeeper,N/A,Unassigned,N/A,Amadicia,Unknown,"The innkeeper at The Bellon Ford Inn in Amadicia, where Elayne and Nynaeve stayed."
Primary,Main,CoT,Yes,11,Algarin Pendaloan,Algarin Pendaloan,Algarin,Pendaloan,Algarin,N/A,M,Human,Current,Asha'man,N/A,Unassigned,Unknown,Tear,Unknown,"A Tairen Lesser Lord of the Land. He also went by ""Emarin""."
Primary,Main,WH,No,0,Algwyn,Algwyn,Algwyn,,Algwyn,N/A,M,Human,Historic,King,N/A,Unassigned,N/A,Seanchan,Unknown,The last man to sit on the Crystal Throne of Seanchan; he ruled over a thousand years.
Primary,Main,LoC,No,0,Alhandrin Torelvin,Alhandrin Torelvin,Alhandrin,Torelvin,Alhandrin,N/A,M,Human,Current,Band of the Red Hand,N/A,Unassigned,N/A,Cairhien,Unknown,A nobleman of a minor Cairhienin House and an officer in the Band of the Red Hand.
Primary,Main,AMoL,Yes,1,"Alhanra, Child",Child Alhanra,Alhanra,,Alhanra,N/A,M,Human,Current,Whitecloak,N/A,Unassigned,N/A,Unknown,Unknown,"A scout in the Children of the Light. Alhanra found Gawyn, badly injured, in the Last Battle."
Primary,World,World,No,0,Aliane Senican,Aliane Senican,Aliane,Senican,Aliane,N/A,F,Human,Historic,Aes Sedai,White,No,Unknown,Unknown,Unknown,An Aes Sedai of the White Ajah who served as Amyrlin from 332 to 355 NE.
Primary,Main,KoD,No,0,Alida Aldragoran,Alida Aldragoran,Alida,Aldragoran,Alida,N/A,F,Human,Current,Uncertain,N/A,Unassigned,N/A,Saldaea,Unknown,The wife of Weilin Aldragoran; he thought that she would have loved to meet Nynaeve.
Primary,Main,TSR,Yes,1,Alijha,Alijha,Alijha,,Alijha,N/A,F,Human,Historic,Jenn Aiel,N/A,Unassigned,N/A,Jenn Aiel,Unknown,A young Jenn Aiel man who accompanied Lewin to rescue their sisters from bandits.
Primary,Main,ToM,No,0,Alin,Alin,Alin,,Alin,N/A,M,Human,Current,Soldier,N/A,Unassigned,N/A,Unknown,Unknown,A cavalry leader in Ituralde’s army at Maradon.
Primary,NS,NS,Yes,1,Alin Seroku,Alin Seroku,Alin,Seroku,Seroku,N/A,M,Human,Current,Soldier,N/A,Unassigned,N/A,Kandor,Unknown,A Kandori officer who commanded Lord Varan’s guards at Canluum.
Primary,Main,ACoS,No,0,Alind Dyfelle,Alind Dyfelle,Alind,Dyfelle,Alind,N/A,F,Human,Historic,Aes Sedai,Gray,No,Unknown,Unknown,Unknown,A legendary Aes Sedai of the Gray Ajah.
Primary,Main,ACoS,Yes,1,Alis,Alis,Alis,,Alis,N/A,F,Human,Current,Maid,N/A,Unassigned,N/A,Altara,Unknown,A plump maid in the Tarasin Palace in Ebou Dar who Olver thought was sweet.
Primary,Main,ACoS,Yes,8,Alise Tenjile,Alise Tenjile,Alise,Tenjile,Alise,N/A,F,Human,Current,Kinswoman,N/A,Unassigned,46(34),Tarabon,819 NE,A Taraboner Kinswoman. Her strength level was 46(34).
Primary,Main,WH,Yes,17,Alivia,Alivia,Alivia,,Alivia,N/A,F,Human,Current,Damane,N/A,Unassigned,1(+12),Seanchan,Unknown,A damane from Seanchan who was captured by Rand’s army and then traveled with him.
Primary,Main,AMoL,Yes,1,Alix,Alix,Alix,,Alix,N/A,M,Human,Current,Warder,N/A,Unassigned,N/A,Unknown,Unknown,A Warder who lost his Aes Sedai in the Last Battle and joined Galad to fight on and avenge her.
Primary,Main,TFoH,Yes,27,Alliandre Maritha Kigarin,Alliandre Maritha Kigarin,Alliandre,Maritha Kigarin,Alliandre,N/A,F,Human,Current,Queen,N/A,Unassigned,N/A,Ghealdan,Unknown,"The Queen of Ghealdan, Blessed of the Light, Defender of Garen’s Wall and a dozen more titles."
